Place Name,Latitude,Longitude,VIAF ID,Aliases
Staphorst,52.642257,6.213934,123902398,Staphorst
Steeple Barton,51.919591,-1.34759,,Steeple Barton in Wiltshire
Strait Magellan,-53.9282,-71.10218,235069100,Jamaica streights of Magellan; Magellan streights; Magellan Streits; Magellanic streights; Streights of Magellan; streights of Magellan; Magell= an Streights; straights of magellan; Magellanic
Stratford upon Avon,52.19,-1.71,148913826,Stratford upon Avon
Stratton,50.83123,-4.517467,158281946,stratton in Cornwall
Streatham,52.35,0.22,152619802,Stretham
Sumatra,0.0,102.0,316734166,Sumatra
Suratte,5.5617,95.2005,127844338,Suratte
Surentum,40.627778,14.373611,154773300,Surentum
Surgeons Hall,,,,Surgeons hall
Surinam,4.165951,-55.945507,128955856,Holland whither it came from Suri= =nam; Surinam
Susquehanna,40.304662,-76.857161,151741417,Susquehanna; Susquehama
Sussex,50.9447852,-0.7374053,236849128,Sussex
Suters Hill,,,,Suters hill
Sweden,65.859144,19.017205,159364209,Sweden
Switzerland,46.730219,7.509687,154323889,swisser land; Swisserland; Suisserland
Talacre,53.35117,3.31911,,sea coast near Talacra Flintshire
Tangier,35.76727,-5.79975,149471694,Tangier
Tartary,,,,Tartary
Tenby,51.674169,-4.711174,144323980,Tenby
Tenterden,51.070002,0.690932,133476995,Tenterden
Terra Fuego,-54.279346,-68.027233,144547294,terra del fuego
Thame,51.747818,-0.975562,139545573,Thame
Thames,-37.13832,175.54011,237292804,Thames
The Severn,,,245691450,the Severn
Thorpe Mandeville,52.099479,-1.232069,,Thorpe Mandeville; Throp Mandeville
Tile pits Richmond,54.403,-1.737,144322941,tile pitts at Richmond
Torpenhow,54.7463779,-3.2955775,151527740,Torpenhow in Cumberland; Turpinhaw in Cumberland
Tourn,,,,Tourn
Tower Hill,51.5085,-0.0782,44159818552313810083,Tower Hill
Tower London,51.509593,-0.07596,128321639,fields North west of the tower of London
Tripoli,32.88743,13.18733,125504622,Tripoli
Troy,,,11145376336783721248,Troy
Tuebingen,48.523078,9.059097,245608584,Tubinga
Tuft Bogg Macclesfield,53.255903,-2.133246,154841577,Tuft Bogg Marsh within two Miles of Macclesfield
Tonkin,21.0,106.0,123767674,Tunquin
Turkey,39.339547,34.51052,154313685,Turkey; Turkish; Turky
Twickenham,51.449,-0.337,143074613,Twitnam
Vampo,,,,Vampo (a small town or village ina the river of Canton or Quantung); Vampo
Venice,45.439722,12.331944,136651400,Venice
Veracruz,-13.0255,-38.70906,126206931,la Veracruz; Vera cruz.
Verulamium,51.75,-0.3539,126637168,Verulam
Vienna,48.20849,16.37208,155870729,Vienna
Virginia,37.73086,-78.376655,128935789,300. leagues from Virginia; Marshes of Virgin =ia; Virginia
Visakhapatnam,17.688378,83.218758,134934050,Viscapatan
Wainfleet,53.1057,0.23583,4345147907508479210008,sea shore near Wainfleet in Lincolnshire
Wales,52.336717,-3.76532,311114459,Wales
Wapping,51.5073,-0.061,154055230,Wapping
Ware park,51.81058,-0.02875,130627690,Ware park; Warepark
Warsaw,50.8532,1.30101,146267734,Warsas; Warsaw
Wenlock Abbey,52.59739,-2.55506,,Wenlock abby
West Indies,21.9833,-79.0333,246535206,W India; W. India; W. Indies; West India; West Indies; West Indian; West Indians
Westminster,51.518462,-0.168357,139492016,Westminster
Westminster Abbey,51.499428,-0.127513,234145857065822921806,Westminster Abby
Westmorland,18.23333,-78.15,133616250,Westmoreland; Westmorland
Whydah,6.366667,2.083333,137286921,Whidgah
Whitechapel,51.5165,-0.075,135978082,Whitechappell
Whitehall,51.502814,-0.126064,247818212,Whitehall
Whitehaven,54.546789,-3.58378,129022729,Whitehaven
Wiggan,53.536336,-2.618168,316601174,Wiggan
Wiltshire,51.274682,-1.953121,135978478,Wiltshire
Windsor,51.479436,-0.624004,158222363,near Windsor; Windsor; Winsor
Windsor common,51.2686789,-0.7532707,,Windsor common
Windsor forrest,51.4561743,-0.6832518,,Windsor forrest
Winlock Abbey,52.7174414,-2.4712304,,Ruins of Winlock Abbey in Shropshire
Wisbech,52.664161,0.160311,144267190,church yard at Wisbech; Wisbich; Wisbech
Witney,51.785726,-1.495746,146737597,Witney; Wittney quarry in Oxfordshire
Wolfenbuettel,52.16442,10.54095,140714405,Asse in Wolfembatle; Wolfem =butle
Woodchester,51.70474,-2.172004,232928875,Woodchester near Minchinghampton in Glocestershire
Woolwich,51.490938,0.064657,146548876,Woolwich in Kent; chalk pitts - near Woolwich
Worcester,52.190698,-2.224215,151276369,Worcester
Worcestershire,52.236437,-2.169111,247225556,Worcester -Shire
Wroxeter Shropshire,52.674,2.646,125420191,Wroxeter in Shropshire; Uriconium or Wroxeter in Shropshire; Uriconium
Wirttemberg,49.0210666,8.6106176,141936652,Wirtemberg Country
York,,,,York buildings
Yorkshire,53.93264,-1.28712,135974050,Yorkshire; confines of Yorkshr.
Yorkshire Outhorn,53.93264,-1.28712,135974051,Yorkshire shores nigh Outhorn
Zurich,47.377514,8.517105,261960983,Zurich
Zwickau,50.716667,12.5,132535661,Zwickau
